cell_id,lat,lon,slab2_covered,slab2_node_count,slab2_regions,slab2_depth_km,slab2_dip_deg,slab2_strike_deg,slab2_uncertainty_km,slab2_strike_coherence,Q_slab,A_slab,G_slab
181,-37.5,-72.5,True,9032,sam,39.847129106758196,16.654200297650423,11.491713928087346,12.648371275016789,0.9695501316187597,0.1481765394436852,0.5042786540320753,1.0006339961479498
182,-37.5,-67.5,True,10000,sam,391.1789242123346,31.933241220108044,28.530036441610264,23.95487502218988,0.8918112540583115,0.04072637217517384,0.8339757971181168,1.0136016226109328
183,-37.5,97.5,False,0,,,,,,0.0,0.0,0.5,1.0
184,-37.5,102.5,False,0,,,,,,0.0,0.0,0.5,1.0
185,-37.5,107.5,False,0,,,,,,0.0,0.0,0.5,1.0
186,-37.5,112.5,False,0,,,,,,0.0,0.0,0.5,1.0
187,-37.5,117.5,False,0,,,,,,0.0,0.0,0.5,1.0
188,-37.5,122.5,False,0,,,,,,0.0,0.0,0.5,1.0
189,-37.5,127.5,False,0,,,,,,0.0,0.0,0.5,1.0
190,-37.5,132.5,False,0,,,,,,0.0,0.0,0.5,1.0
191,-37.5,137.5,False,0,,,,,,0.0,0.0,0.5,1.0
192,-37.5,142.5,False,0,,,,,,0.0,0.0,0.5,1.0
193,-37.5,147.5,False,0,,,,,,0.0,0.0,0.5,1.0
194,-37.5,152.5,False,0,,,,,,0.0,0.0,0.5,1.0
195,-37.5,157.5,False,0,,,,,,0.0,0.0,0.5,1.0
196,-37.5,162.5,False,0,,,,,,0.0,0.0,0.5,1.0
197,-37.5,167.5,False,0,,,,,,0.0,0.0,0.5,1.0
198,-37.5,172.5,True,976,ker,200.1170012755506,65.36927968469152,42.402246882378904,16.56298627350597,0.9939188018822877,0.10622973498549547,0.7459796537098711,1.0261303534254236
199,-37.5,177.5,True,7937,ker,23.169467622387945,12.519592016319745,29.510384927553115,7.093233715823369,0.9624048027066481,0.35775107958369917,0.33856617164159697,0.9422468736234517
200,-32.5,-177.5,True,4920,ker,25.210865762751883,13.87777100733085,22.347274927639987,14.048290303357886,0.9955826840859915,0.1203601042503341,0.3445773987591291,0.9812933195117907
201,-32.5,-172.5,False,0,,,,,,0.0,0.0,0.5,1.0
202,-32.5,-167.5,False,0,,,,,,0.0,0.0,0.5,1.0
